,tessid,tic,toi_disp,toi_period,toi_prad,toi_prad_err1,toi_prad_err2,toi_ror
61,1508.01,415741431,PC,2.1568,12.1828,0.8348190000000001,-0.8348190000000001,0.028829478656330745
62,1534.01,354600221,PC,1.4185299999999998,3.93221,0.315846,-0.315846,0.02143522570238095
63,1480.01,335483600,PC,3.3540400000000004,,,,
64,1488.01,198457103,PC,0.47225,1.64337,0.11123399999999999,-0.11123399999999999,0.007757722917525773
65,1483.01,452803785,PC,5.00626,5.92416,0.377216,-0.377216,0.049773814018348614
66,1495.01,431148743,PC,2.6286400000000003,,,,
67,1535.01,420288086,PC,6.534269999999999,20.4061,2.71884,-2.71884,0.07187656299999999
68,1545.01,127425841,PC,1.51614,10.1779,0.5599649999999999,-0.5599649999999999,0.04569078833333333
69,1485.01,377191482,PC,2.95607,9.30465,,,0.01381069444084279
70,1489.01,219751469,PC,6.98301,13.6402,,,0.014871065666666666
71,1479.01,421308357,PC,16.68356,16.0937,1.0724200000000002,-1.0724200000000002,0.05438601645756457
72,1536.01,445137888,PC,2.0139,7.370310000000001,0.8644379999999999,-0.8644379999999999,0.025185559320895525
73,1546.01,194203348,PC,1.13345,3.03424,0.26813899999999996,-0.26813899999999996,0.01984826422857143
74,1496.01,384045439,PC,10.82661,11.5303,2.66157,-2.66157,0.15528601088235292
75,1509.01,272828463,PC,0.78877,19.4628,5.52926,-5.52926,0.06125096989690722
76,1497.01,371673488,PC,0.8158,3.6908800000000004,0.23233600000000001,-0.23233600000000001,0.018270853535135134
77,1510.01,377739433,PC,1.23852,7.11712,0.485025,-0.485025,0.01917017204705882
78,1524.01,314338017,PC,10.95478,13.6947,,,0.018470701413843885
79,1511.01,376682699,PC,1.10264,24.3905,6.03547,-6.03547,0.1116840995
80,1490.01,283474780,PC,3.9943,11.9767,,,0.021464308923679058
81,1486.01,233541860,PC,0.26665,1.2135799999999999,0.10900399999999999,-0.10900399999999999,0.0176412153015873
82,1491.01,53875855,PC,4.4932099999999995,6.23728,0.368209,-0.368209,0.04643984572357723
83,1481.01,197650870,PC,4.37035,35.3634,12.0772,-12.0772,0.08056169582089552
84,1512.01,434718964,PC,1.59748,,,,
85,1498.01,316402246,PC,1.3978700000000002,28.9755,3.68209,-3.68209,0.16584851812499998
86,1547.01,409520860,PC,0.71933,3.4564800000000004,0.319342,-0.319342,0.02198225266666667
87,1525.01,276380902,PC,0.61724,6.8685,0.49408900000000006,-0.49408900000000006,0.02003239585987261
88,1499.01,414870287,PC,4.95898,,,,
89,1513.01,269509393,PC,1.7658900000000002,4.06597,0.31643000000000004,-0.31643000000000004,0.02402332468387097
90,1548.01,440100539,PC,12.6017,3.34292,0.265927,-0.265927,0.02530120773553719
91,1537.01,173612049,PC,6.49052,3.1970099999999997,0.22403800000000001,-0.22403800000000001,0.030498143312499996
92,1500.01,377420580,PC,1.4166,,,,
93,1514.01,270238522,PC,1.36991,11.8886,0.65532,-0.65532,0.029910933736263735
94,1492.01,354594208,PC,0.8667299999999999,3.54647,0.369081,-0.369081,0.025982857808
95,1549.01,191146556,PC,2.58593,14.1871,7.7246,-7.7246,0.08491860248366011
96,1515.01,470709084,PC,3.6632800000000003,7.712339999999999,,,0.030443797293103446
97,1501.01,329145325,PC,1.0767200000000001,17.3316,5.319369999999999,-5.319369999999999,0.10045746379746835
98,1526.01,313761775,PC,1.5312700000000001,5.5149300000000006,0.417825,-0.417825,0.021220894512605042
99,1554.01,299158887,KP,9.435260000000001,5.975876,0.757458,-0.757458,0.05833397899736508
100,1555.01,441732151,PC,2.0998900000000003,10.1564,1.58125,-1.58125,0.08943491461538461
101,1556.01,405794804,PC,1.44127,9.20279,0.314565,-0.314565,0.051078273224242424
102,1557.01,320506985,PC,1.08697,4.98445,0.41457200000000005,-0.41457200000000005,0.02701041011834319
103,1558.01,117322779,PC,0.68601,,,,
104,1559.01,241040309,PC,3.4647900000000003,9.20223,0.922291,-0.922291,0.0331787489527559
105,1560.01,241076290,PC,0.25792,8.51808,1.06722,-1.06722,0.037324677818181815
106,1561.01,245462406,PC,2.2745599999999997,13.265999999999998,3.23854,-3.23854,0.03626567999999999
107,1562.01,249862365,PC,0.9899899999999999,3.95137,0.34913099999999997,-0.34913099999999997,0.019666655684782607
108,1563.01,249945230,PC,,4.87484,0.40944200000000003,-0.40944200000000003,0.060329438810810807
109,1564.01,250724252,PC,0.5597300000000001,,,,
110,1565.01,251384275,PC,,23.8658,,,0.10025825522935779
111,1566.01,256414077,PC,3.01106,7.2070300000000005,1.30585,-1.30585,0.040492012723926385
112,1567.01,259151170,PC,,21.0557,1.45218,-1.45218,0.224218721627907
113,1568.01,284050395,PC,1.35932,10.3751,2.44543,-2.44543,0.10107996361702128
114,1569.01,285666479,PC,1.7161400000000002,14.1349,0.928386,-0.928386,0.026310450040650406
115,1570.01,285674856,PC,1.74626,5.62786,0.44852,-0.44852,0.02863330104444444
116,1571.01,285677945,PC,1.2427,6.05271,0.461873,-0.461873,0.025902204757009342
117,1572.01,292321872,PC,8.66698,27.4804,9.09318,-9.09318,0.09986726317460316
118,1573.01,302773669,KP,,12.241705,0.640634,-0.640634,0.07227930214820831
119,1574.01,307111282,PC,,11.3282,0.5656439999999999,-0.5656439999999999,0.08573855834710743
120,1575.01,316254876,PC,2.4609400000000003,13.5975,4.6637900000000005,-4.6637900000000005,0.07456641017964072
121,1576.01,327011842,PC,0.7842399999999999,11.2559,,,0.01912458853432282
122,1577.01,332154944,PC,0.9983700000000001,5.2948900000000005,0.268196,-0.268196,0.042912037716814164
123,1578.01,348135793,PC,1.97741,17.5768,0.859208,-0.859208,0.07628831014218009
124,1579.01,354400186,PC,9.07768,,,,
125,1580.01,354469661,PC,4.79539,18.0648,0.818419,-0.818419,0.07588873321100917
126,1581.01,370759867,PC,,18.6201,5.67282,-5.67282,0.17579677917525774
127,1582.01,374400599,PC,1.8925299999999998,26.7733,6.95592,-6.95592,0.11960482019512195
128,1583.01,403256331,PC,3.7718800000000003,10.0329,0.616291,-0.616291,0.01988772688311688
129,1584.01,418987806,PC,0.88654,24.9348,7.63992,-7.63992,0.05347843053864169
130,1585.01,444415148,PC,1.8364099999999999,10.6176,,,0.019331208906560635
131,1586.01,445144327,PC,1.80794,20.9267,,,0.02225862004645761
132,1587.01,458914949,PC,12.523,8.08136,0.454244,-0.454244,0.029485695171314743
133,1588.01,50120414,PC,3.5804,18.268,,,0.028070191946308724
134,1589.01,52041724,PC,,21.6371,0.9984040000000001,-0.9984040000000001,0.11132166393258426
135,1590.01,71854745,PC,3.10315,,,,
136,1591.01,82010657,PC,,10.4319,0.612529,-0.612529,0.05619725894117647
137,1592.01,186599508,PC,5.631807,4.821769000000001,1.559283,-1.559283,0.03180799021941135
138,1593.01,192372961,PC,2.06313,11.9118,0.988067,-0.988067,0.02286965710691824
139,1594.01,201154493,PC,1.51233,11.1245,0.8198770000000001,-0.8198770000000001,0.0234202691954023
140,1595.01,385105624,PC,1.7490299999999999,9.17868,1.04321,-1.04321,0.054940098980392156
141,1596.01,431899140,PC,1.9765599999999999,13.6974,1.24199,-1.24199,0.03465215171270718
142,1597.01,68152139,PC,0.7377199999999999,4.68288,0.332822,-0.332822,0.02878242620134228
143,1598.01,67418624,PC,1.103694,3.7806919999999997,4.762748,-4.762748,0.020050019883487948
144,1599.01,129979528,KP,1.219868,19.178216,0.703721,-0.703721,0.10960553545762033
145,1600.01,187029841,PC,0.36113,6.69136,0.509829,-0.509829,0.03142537173333333
146,1601.01,139375960,PC,5.33155,14.6101,0.7936979999999999,-0.7936979999999999,0.060269953063063056
147,1602.01,129991079,PC,6.15952,3.90515,0.32700500000000005,-0.32700500000000005,0.03281042541284403
148,1603.01,73448352,PC,4.73231,16.0332,1.10467,-1.10467,0.09412310615384614
149,1604.01,118301361,PC,3.4660800000000003,20.8363,7.04558,-7.04558,0.06318504483443708
150,1605.01,101037590,PC,8.70769,12.8676,0.796009,-0.796009,0.07411413886792452
151,1606.01,125735470,PC,4.71371,7.487439999999999,0.579354,-0.579354,0.04232714538271604
152,1607.01,26433869,PC,1.03578,19.0002,,,0.022222711570881223
153,1608.01,138017750,PC,2.472722,13.679851999999999,0.588441,-0.588441,0.05887166690914558
154,1609.01,229951289,PC,13.3118,2.67981,0.201427,-0.201427,0.025042551
155,1610.01,219776325,PC,2.52894,2.37833,0.182083,-0.182083,0.01830314801680672
156,1611.01,264678534,PC,16.190579999999997,2.7229099999999997,0.234449,-0.234449,0.03196975612820512
157,1612.01,268403451,KP,2.86415,15.8864,0.756784,-0.756784,0.09508996810457515
158,1613.01,272625214,PC,5.246659999999999,5.64511,0.348928,-0.348928,0.035901331513888884
159,1614.01,317397615,PC,0.74374,9.88119,,,0.02239899455940594
160,1615.01,317507345,PC,3.9401800000000002,24.0533,2.25373,-2.25373,0.1449211325
161,1616.01,322054600,PC,1.34323,4.703119999999999,0.473236,-0.473236,0.0297042572137931
162,1617.01,322202434,PC,1.40127,3.54238,0.208889,-0.208889,0.03451182557446809
163,1618.01,376838000,PC,2.1679,5.32848,0.574709,-0.574709,0.02439910992
164,1619.01,377144784,PC,2.3872299999999997,11.5,,,0.022265750528541222
165,1620.01,378291076,PC,1.5987799999999999,2.58244,0.215214,-0.215214,0.015872473503355706
166,1621.01,387260717,PC,6.45054,1.8644599999999998,0.139997,-0.139997,0.01673992615686274
167,1622.01,388076005,PC,1.71225,2.76568,0.721007,-0.721007,0.02483146807843137
168,1623.01,407394748,PC,0.75235,7.898789999999999,0.506506,-0.506506,0.034121282462264146
169,1624.01,461387302,PC,5.80783,3.06399,0.200374,-0.200374,0.022094504267716534
170,1625.01,470852531,PC,1.4944600000000001,4.21366,0.272462,-0.272462,0.026985103692307694
171,1627.01,424435940,KP,5.01961,14.8665,2.18709,-2.18709,0.12156018482142855
172,1628.01,284475976,KP,2.14372,17.5738,0.949191,-0.949191,0.09092703977401129
173,1626.01,157586003,KP,3.33069,17.1759,0.8366899999999999,-0.8366899999999999,0.09252758364705882
174,1629.01,310003988,KP,4.5421,18.0272,0.982246,-0.982246,0.09542953618497109
175,1639.01,348673213,PC,0.901465,3.4348129999999997,0.997843,-0.997843,0.05148090571713339
176,1637.01,286355915,PC,4.076758,17.428812,0.779526,-0.779526,0.09714614569268785
177,1633.01,165551882,PC,12.15828,1.9160279999999998,1.055584,-1.055584,0.05429141220297029
178,1630.01,317597583,PC,12.05279,2.2863919999999998,2.897434,-2.897434,0.02585034313086419
179,1641.01,422923265,PC,1.864989,12.538129,2.9639729999999997,-2.9639729999999997,0.033780860577978224
180,1631.01,29054413,PC,7.626094999999999,3.677997,6.868384,-6.868384,0.035492429602264224
181,1638.01,312862941,PC,0.9150940000000001,8.637166,21.635502,-21.635502,0.11279947610864802
182,1632.01,51024887,PC,8.249187,8.047698,35.753082,-35.753082,0.4464930287521355
183,1640.01,396562848,PC,1.9493939999999998,1.365212,1.0475290000000002,-1.0475290000000002,0.04805240652300077
184,1634.01,201186294,PC,0.9893299999999999,1.830385,1.7299400000000003,-1.7299400000000003,0.036028753573286214
185,1636.01,269892793,PC,1.772988,18.984379,9.064306,-9.064306,0.2527603659595749
186,1635.01,230086768,PC,8.857783,17.911839999999998,17.459988,-17.459988,0.4214723848725202
187,1643.01,298647682,PC,40.158134999999994,2.687783,3.671499,-3.671499,0.03165537962972489
188,1644.01,22843856,PC,1.8497540000000001,14.925165,2.8981529999999998,-2.8981529999999998,0.11058719008244403
189,1645.01,184679932,PC,2.172142,18.085035,0.8086399999999999,-0.8086399999999999,0.12649041182400694
190,1646.01,387527558,PC,3.623909,6.934714,0.46860799999999997,-0.46860799999999997,0.15336381900067855
191,1647.01,154927364,PC,6.9737800000000005,20.7856,2.2525,-2.2525,0.09914298166666666
192,1648.01,376353509,PC,7.33454,2.55523,0.205485,-0.205485,0.028193730530120482
193,1649.01,116608612,PC,3.45572,15.8322,0.575766,-0.575766,0.0814557795505618
194,1650.01,122485078,PC,9.1505,11.1497,0.696148,-0.696148,0.033810911456953634
195,1651.01,138168780,KP,3.7650099999999997,17.562,0.749722,-0.749722,0.1132625323943662
196,1652.01,154867950,PC,0.6664800000000001,3.37304,0.311146,-0.311146,0.015522763979899497
197,1653.01,156724719,PC,10.95475,,,,
198,1654.01,258829450,PC,1.8351099999999998,3.2027,0.764618,-0.764618,0.011457158828125
199,1655.01,266500992,PC,3.2776699999999996,3.67705,0.28926799999999997,-0.28926799999999997,0.029282107739130436
200,1656.01,267694283,PC,,12.8378,1.08497,-1.08497,0.09330839079365079
201,1657.01,27677846,PC,5.6258300000000006,4.01095,0.915215,-0.915215,0.046496557088607594
202,1658.01,286561122,PC,0.67994,7.85887,0.6263,-0.6263,0.02415152062416107
203,1659.01,288631580,PC,5.87731,2.0011099999999997,0.160124,-0.160124,0.018144718198019796
204,1660.01,311121985,PC,1.3567,3.7381699999999998,0.270907,-0.270907,0.018405462827956985
205,1661.01,312122956,PC,2.05287,,,,
206,1662.01,339538183,PC,2.60943,21.2194,,,0.1091726208988764
207,1663.01,353367071,PC,2.37532,13.5855,3.05985,-3.05985,0.05896493317535545
208,1664.01,353782445,PC,11.834577000000001,2.5238680000000002,2.003531,-2.003531,0.017278858280007175
209,1665.01,354006740,PC,1.76406,12.3762,3.48063,-3.48063,0.05583312295566503
210,1666.01,368536386,PC,1.69433,5.207330000000001,0.47039,-0.47039,0.023844364070000002
211,1667.01,409183335,PC,3.32125,25.5824,,,0.13311569272727272
212,1668.01,417705690,PC,2.36155,2.84616,0.198055,-0.198055,0.025062628153846148
213,1669.01,428679607,PC,2.6794849999999997,2.248112,3.387724,-3.387724,0.019248333220519626
214,1670.01,441739020,PC,40.73133,20.9722,2.28956,-2.28956,0.1466132882442748
215,1671.01,459903429,PC,8.13664,11.75,,,0.027173358585858585
216,1672.01,468828873,PC,3.89675,5.17598,0.349722,-0.349722,0.02508022478306878
217,1673.01,470315428,PC,1.08625,4.6512199999999995,0.714178,-0.714178,0.030425623399999997
218,1674.01,73104318,PC,7.45494,15.1922,,,0.056787823510204075
219,1675.01,81831095,PC,3.13282,7.37696,0.429936,-0.429936,0.03279524256310679
220,1676.01,8400842,KP,3.191584,16.27035,1.615113,-1.615113,0.08833261125766963
221,1677.01,87090944,PC,0.64367,5.09039,0.718296,-0.718296,0.03128710846979866
222,1678.01,96291218,PC,6.8561,20.3432,,,0.09087952468292683
223,1679.01,9837861,PC,0.65725,4.468030000000001,,,0.01526799206716418
224,1680.01,259168516,PC,4.802445,1.5320340000000001,1.1224379999999998,-1.1224379999999998,0.06572862878585584
225,1681.01,321041369,PC,1.5375590000000001,3.26185,2.8502680000000002,-2.8502680000000002,0.03228807432563891
226,1682.01,367366318,KP,2.734786,17.232791,0.711126,-0.711126,0.08921305821254943
227,1683.01,58542531,PC,3.057601,2.390933,1.892033,-1.892033,0.03150096665060172
228,1684.01,85031598,PC,1.155109,11.731358,2.910615,-2.910615,0.035988991358818716
229,1685.01,28900646,PC,0.6691739999999999,1.468637,2.622648,-2.622648,0.029086386148163525
230,1686.01,102672709,PC,6.702137,3.7172410000000005,1.935821,-1.935821,0.023339476119239262
231,1687.01,103448870,PC,10.257449000000001,4.394979,0.43055200000000005,-0.43055200000000005,0.041140947723915876
232,1688.01,121966220,PC,6.716659,23.578362,1.224118,-1.224118,0.09177212767053422
233,1689.01,198384408,PC,9.12381,2.047184,0.49013599999999996,-0.49013599999999996,0.016323997450587723
234,1690.01,267574918,PC,1.407977,,,,
235,1691.01,268334473,PC,16.731638,3.7467019999999995,0.30561,-0.30561,0.03416810750234012
236,1692.01,288636342,PC,17.734395000000003,4.914763,1.103197,-1.103197,0.030871491367390046
237,1693.01,353475866,PC,1.7668810000000001,1.4785469999999998,2.184288,-2.184288,0.029355533594935604
238,1694.01,396740648,PC,3.7701300000000004,5.480027,0.461999,-0.461999,0.061327444021360575
239,1695.01,422756130,PC,3.131463,2.085673,0.8861600000000001,-0.8861600000000001,0.03700912282190639
240,1696.01,470381900,PC,2.500715,2.968968,1.348479,-1.348479,0.09694200532667795
241,1697.01,1884091865,PC,10.691098,3.8020410000000004,2.071837,-2.071837,0.047069427836034065
242,1698.01,190223929,PC,17.04198,,,,
243,1699.01,22705558,PC,4.54856,3.4721699999999998,0.269138,-0.269138,0.030575127749999993
244,1700.01,23650642,PC,1.12355,3.49799,0.29497399999999996,-0.29497399999999996,0.031717418237623765
245,1701.01,274215536,PC,1.33418,4.94538,0.439061,-0.439061,0.0514656705
246,1702.01,371210825,PC,0.40312,2.9517700000000002,0.440428,-0.440428,0.030373381640449438
247,1703.01,453387619,PC,1.20143,9.827919999999999,2.7929,-2.7929,0.08333712162962961
248,1704.01,95129101,PC,3.9306400000000004,11.6393,4.5159,-4.5159,0.07954679805970148
249,1705.01,137500798,PC,13.206920000000002,4.77738,0.388525,-0.388525,0.026198350922155687
250,1706.01,230377505,PC,4.51564,1.8076599999999998,0.123051,-0.123051,0.017066546680412367
251,1707.01,240148934,PC,2.02365,5.96472,0.381378,-0.381378,0.036908720108108105
252,1708.01,241173474,PC,11.44192,9.64245,0.498673,-0.498673,0.0712141589516129
253,1709.01,29119552,PC,7.62897,18.3832,1.08561,-1.08561,0.10522084099999998
254,1710.01,445805961,PC,24.28313,5.40603,0.276638,-0.276638,0.05051879871428572
255,1711.01,461662295,PC,10.2558,7.44683,0.405057,-0.405057,0.07030728777319588
256,1712.01,67926921,PC,3.56681,20.5438,0.924216,-0.924216,0.05935019570977918
257,1713.01,15863518,PC,0.5572010000000001,4.65369,2.121569,-2.121569,0.0450512611205074
258,1714.01,239154970,KP,3.474469,18.824277,0.785441,-0.785441,0.10326813634245254
259,1715.01,142090065,PC,2.827591,5.5510720000000005,0.415155,-0.415155,0.03376037971324403
260,1716.01,14336130,PC,8.088417,2.7416669999999996,2.393182,-2.393182,0.020327717145008372
261,1717.01,149833117,PC,4.052173000000001,13.928072,0.6210140000000001,-0.6210140000000001,0.09410123525514759
262,1718.01,257241363,PC,5.586947,4.042342,0.476745,-0.476745,0.039412710770426435
263,1719.01,293617835,PC,2.756792,7.830963000000001,8.827916,-8.827916,0.01721677485469827
264,1720.01,356473034,KP,2.6158259999999998,12.383992,0.919653,-0.919653,0.10453255793907551
265,1721.01,51234631,KP,4.124878,15.255147000000001,0.861261,-0.861261,0.08610578503913713
266,1722.01,85242435,PC,9.606666,4.431151,0.631761,-0.631761,0.03708892907488987
267,1723.01,71431780,PC,13.716057000000001,3.1569700000000003,1.114414,-1.114414,0.026591429073350197
268,1724.01,81212286,PC,0.685081,1.980636,2.017025,-2.017025,0.047730941052947354
269,1725.01,86396382,KP,1.09141,22.278488,1.039145,-1.039145,0.11662516325639354
