,tic,mass,mass_err1,mass_err2,logg,logg_err1,logg_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,teff,teff_err1,teff_err2,snr,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,cdppslplong,cdppslpshrt,dataspan,dutycycle,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4
0,176860064,,,,,,,,,,,,,6393.0,280.6,-280.6,35.813244,479.170742742658,449.4777278233082,427.22455910825596,408.67729704692186,392.6926906275069,364.93733703599446,352.3937687193612,328.32680493474277,296.80841737530693,270.947459268575,247.69688067022057,226.76837755722832,220.08283106554208,188.08175054123,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6479544664053403,-0.25145638402553455,27,0.9558823529411765,0.0,0.0,0.0,0.0
1,236887394,0.8040019949337573,0.18027414247902365,-0.18027414247902365,4.5724800000000005,0.082846,-0.082846,0.768108,0.045256,-0.045256,2.4980027719092557,1.0016426754800654,-1.0016426754800654,4910.0,108.354,-108.354,136.63535,1528.5307800443154,1382.4399120756711,1274.3568619069003,1183.621521522859,1106.239447112905,969.2362599696787,911.9845150114066,816.007610652066,708.1331527044543,637.1705197453402,569.7495291688964,516.3912554238875,501.49820231024177,439.61732330466555,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.695362622788224,-0.4382766184527838,27,0.9558823529411765,0.0,0.0,0.0,0.0
2,427654774,0.249431188307925,0.016119169260780834,-0.016119169260780834,4.95337,0.008643000000000001,-0.008643000000000001,0.275946,0.008483,-0.008483,16.714027071779643,2.621566358148114,-2.621566358148114,3453.0,157.0,-157.0,8.069622,3537.49678208195,3222.5892910800344,2978.153397308265,2788.4592999268684,2627.375207269508,2360.2975000438364,2243.719277060017,2031.238756146624,1780.5247833731241,1560.2630422834482,1376.5040838182565,1213.2212017228528,1164.1682026489452,947.4289357780874,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.9010531215133091,-0.36987130507672394,54,0.9558823529411765,0.0,0.0,0.0,0.0
3,237086564,0.6600016261070533,0.2099524331142925,-0.2099524331142925,4.5079,0.11071199999999999,-0.11071199999999999,0.749646,0.071322,-0.071322,2.205865235991632,1.3313095581508594,-1.3313095581508594,4201.0,125.587,-125.587,10.3312,833.04240680884,786.6046152783649,750.8642541111992,717.9821510627487,687.0957556118661,628.7473220250314,601.0053950959225,549.1147214000453,481.69437250586395,429.5024580944602,391.51741483438445,365.9677995366504,359.0736843952083,328.3834538570733,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.5529411904988516,-0.29163414643960905,27,0.9558823529411765,0.0,0.0,0.0,0.0
4,240968774,0.4888213395323951,0.030189791630005125,-0.030189791630005125,4.74552,0.0077069999999999994,-0.0077069999999999994,0.490737,0.014515,-0.014515,5.8237993111721496,0.8764483900177186,-0.8764483900177186,3834.0,157.0,-157.0,8.569228,851.2864025185044,801.5284611857551,761.3603697373305,727.7062890930082,698.2502222850171,646.230518955164,623.4983525095491,581.9693837685119,526.997114951266,478.6225615813531,432.91005698129544,389.5829170473596,375.33115259385266,314.03426475224825,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.7392292015962723,-0.26142411910973673,27,0.9558823529411765,0.0,0.0,0.0,0.0
5,431514478,2.5649692761703453,0.4016582951456286,-0.4016582951456286,4.29876,0.063938,-0.063938,1.8801599999999998,0.050161000000000004,-0.050161000000000004,0.5433759286549219,0.1285796659223574,-0.1285796659223574,10012.0,185.641,-185.641,8.222785,467.05971098243907,437.872311163559,417.4392307179908,400.4847226585442,385.60221792948914,360.0662512345847,348.6925226957445,327.26914238772895,299.6922934578014,276.0588537325941,254.01074728004784,233.37357587238102,226.67716240631998,194.32704233719647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6144097344762285,-0.2352450085396988,27,0.9558823529411765,0.0,0.0,0.0,0.0
6,243185500,0.3564718800766126,0.02110374630138587,-0.02110374630138587,4.85532,0.0010869999999999999,-0.0010869999999999999,0.36930599999999997,0.010922,-0.010922,9.96480583359304,1.474042773684074,-1.474042773684074,3382.0,157.0,-157.0,12.679347,229656.7748671958,227688.328246963,225762.10289097636,223844.97831005722,221924.16783682507,218047.75854905637,216089.1897064231,212096.7475633526,205713.3775878038,198940.845514581,191932.33282079003,184709.3782110372,182262.61914231072,169870.90196185283,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.2714749931664643,-0.05742900391091816,27,0.9558823529411765,0.0,0.0,0.0,0.0
7,16920150,0.8889932239110925,0.20248463453622237,-0.20248463453622237,4.557180000000001,0.085371,-0.085371,0.82204,0.047289,-0.047289,2.2533167953532796,0.9021101340234564,-0.9021101340234564,5219.0,133.609,-133.609,7.595617,205533.13014392616,203559.3776298015,201562.07297396986,199527.1686850532,197452.1713911175,193185.531659858,190999.7448985286,186466.1542710189,179079.1697201255,171161.46708940773,162959.62933655726,154650.6036087324,151873.51090150172,138095.4829042348,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.3690174932192765,-0.07061620457874707,27,0.9558823529411765,0.0,0.0,0.0,0.0
8,243185500,0.3564718800766126,0.02110374630138587,-0.02110374630138587,4.85532,0.0010869999999999999,-0.0010869999999999999,0.36930599999999997,0.010922,-0.010922,9.96480583359304,1.474042773684074,-1.474042773684074,3382.0,157.0,-157.0,9.774991,229656.7748671958,227688.328246963,225762.10289097636,223844.97831005722,221924.16783682507,218047.75854905637,216089.1897064231,212096.7475633526,205713.3775878038,198940.845514581,191932.33282079003,184709.3782110372,182262.61914231072,169870.90196185283,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.2714749931664643,-0.05742900391091816,27,0.9558823529411765,0.0,0.0,0.0,0.0
9,17005768,1.2726375707890687,0.0,-0.0,4.438,0.0,-0.0,1.1282,0.0,-0.0,1.2478118595329184,0.0,-0.0,5766.0,0.0,-0.0,47.321503,205272.23488456587,203116.72440907062,200971.68242302968,198817.21854286536,196644.62842885894,192226.42079617572,189978.90970247504,185351.84590816428,177855.20221709492,169839.4365491479,161557.2944082044,153183.44720143473,150388.93944273418,136569.87341415233,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.3751586698043291,-0.07377656012093578,27,0.9558823529411765,0.0,0.0,0.0,0.0
